Series Name,Series Code,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,United Kingdom,GBR,28.91205213,18.39442564,21.19636687,26.90027201,21.9011093,23.48009428,23.65910947,21.44877674,8.408740256,18.11999155,27.99464946,17.20856408,15.28005776,14.89162762,23.80884273,28.33962413,28.49568828,28.34195031,31.49009782,18.37582584,22.86031146,27.45452033,24.87668628,20.79634173,15.81028981,7.061310973,6.699844976,11.12504235,13.33734898,14.37886491,9.613811999
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Ireland,IRL,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024,0.086319024
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Denmark,DNK,0.40321038,0.248351229,0.241419849,0.278909053,0.257214798,0.234430662,0.378948172,0.381852748,0.109052748,0.396428811,1.275457088,1.013879088,0.996625047,0.928490714,1.107711313,1.453496128,1.602123252,1.39606726,1.780899133,1.019546077,1.192486049,1.492452952,1.388438106,1.025816554,0.814514277,0.44047159,0.296588221,0.426156383,0.509684508,0.380194234,0.147714022
